(i, hn[i], current_templature, outcome, outcome_templature) = (105, 80711, 522.2660000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (106, 37700, 264.20000000000005, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (107, 73548, 479.288, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (108, 70630, 461.78000000000003, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (109, 86053, 554.318, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (110, 90879, 583.274, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (111, 9041, 92.24600000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (112, 60963, 403.778, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (113, 94038, 602.2280000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (114, 87128, 560.768, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (115, 44149, 302.894, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (116, 26554, 197.324, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (117, 76259, 495.55400000000003, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (118, 33647, 239.882, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (119, 50588, 341.528, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (120, 56034, 374.204, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (121, 93536, 599.216, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (122, 2646, 53.876, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (123, 75644, 491.86400000000003, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (124, 63054, 416.324, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (125, 58551, 389.306, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (126, 82345, 532.0699999999999, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (127, 79738, 516.428, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (128, 11509, 107.054, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (129, 48933, 331.598, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (130, 28827, 210.96200000000002, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (131, 33758, 240.548, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (132, 97742, 624.452, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (133, 68165, 446.99, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (134, 47231, 321.386, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (135, 40320, 279.92, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (136, 21761, 168.566, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (137, 84144, 542.864, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (138, 17267, 141.602, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (139, 94153, 602.918, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (140, 34882, 247.292, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (141, 82507, 533.042, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (142, 40459, 280.754, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (143, 1904, 49.424, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (144, 73776, 480.656, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (145, 5798, 72.78800000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (146, 80416, 520.4960000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (147, 22765, 174.59, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (148, 14482, 124.892, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (149, 22575, 173.45, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (150, 48730, 330.38, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (151, 46607, 317.642, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (152, 13134, 116.804, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (153, 38534, 269.204, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (154, 7626, 83.756, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (155, 2226, 51.356, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (156, 34719, 246.314, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (157, 10653, 101.918, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (158, 96969, 619.814, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (159, 86801, 558.806, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (160, 19398, 154.388, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (161, 35272, 249.632, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (162, 54038, 362.228, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (163, 29466, 214.796, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (164, 55315, 369.89, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (165, 17149, 140.894, 1, 40.124)
